Feature,Importance,Standard Deviation
EST_Corte_1,0.15299679492808246,0.03951920930794187
12_NDMI,0.13265675430027854,0.1232324920853273
EST_Corte_2,0.092980862836707,0.014180862802399065
02_surface_solar_radiation_downwards_sum,0.07252183560993923,0.026261904636788028
01_NDVIre1,0.036544958684553805,0.08636294631129908
07_Def,0.021703696316767718,0.012947698023692491
01_MSRre1,0.016936822906738546,0.05975079691762053
01_CIre1,0.014948089299658135,0.05598304460364059
12_SIWSI,0.014018321728413694,0.05151394268229361
EST_Corte_3,0.012671726568864837,0.001992888733770282
01_rededge1,0.011613485396033043,0.006500072622510706
07_Def_rel,0.011099035874466739,0.009408215444095189
03_Def_rel,0.011091278010021617,0.007651768136798962
12_CIre2,0.008249818848008012,0.00783168132019856
06_Def_rel,0.008076400403553653,0.007736868377209535
03_total_precipitation_sum,0.008027086886669414,0.0036111348194956708
12_NDVIre2,0.0069011994026270404,0.008059652001875695
15_Def_rel,0.00617401923746364,0.0028834939343904483
02_total_precipitation_sum,0.006020658624466447,0.0028547513413543094
03_NDWI2,0.00594471787133674,0.003661116207082687
12_total_precipitation_sum,0.005854958661064883,0.0032671187882885155
12_MSRre2,0.00583923766710241,0.0066982850638845105
01_NDWI1,0.005698013389897734,0.00945860554967541
03_surface_solar_radiation_downwards_sum,0.005462147301471244,0.0035379505901165925
12_NDWI2,0.005377023055689358,0.0017758936481281169
12_Def_rel,0.005215402655839763,0.0026290958072707434
01_NDWI2,0.005145835314566468,0.003077705986041454
14_Def,0.005015437437908682,0.006795358239593907
01_Def_rel,0.004827489524437588,0.0037344621627382196
01_NDVIre2,0.004811699158769953,0.006511734108781102
06_Def,0.0047798712929060455,0.005025911203832713
03_CIre2,0.004708323982796899,0.003961154385228413
12_swir1,0.004584594276636202,0.001731431519127113
01_total_precipitation_sum,0.004564012186005448,0.0027898895285701233
15_Def,0.004346866372204387,0.0030101834447492323
04_Def_rel,0.004245512358999794,0.0033349849087866952
VARIEDADE_RB867515,0.0042207788638244335,0.0028225557038222887
03_swir1,0.0041923752306713795,0.002504434823835646
03_Def,0.004170640100986032,0.0029807669706071
03_rededge1,0.0040925070844940155,0.0019029302381422576
03_NDWI1,0.003999148422891911,0.002347180802275969
05_Def,0.0039053816852505723,0.002404581275009344
01_swir2,0.0038205013508072956,0.018252865435237572
12_rededge1,0.0036670709503872235,0.001737848391963065
12_swir2,0.00366420118196643,0.0014916312423392602
04_Def,0.0036400158775777426,0.0024642373090827605
01_surface_solar_radiation_downwards_sum,0.0036129952407427486,0.0023065574559155027
02_NDWI2,0.0036066903902295345,0.001428440695747589
01_CIre2,0.0034996762135874153,0.005333583162573116
03_NDVIre2,0.00348333474029958,0.0030025544429517514
03_MSRre2,0.0034221619812490004,0.002962391102506835
10_Def_rel,0.003408027975430739,0.0025787024294693993
14_Def_rel,0.003334520061318855,0.0025575957512134506
02_swir1,0.0033018274040217815,0.0017334551160429798
12_Def,0.003294497035542194,0.0023379258766327527
03_swir2,0.0032930644714915473,0.0019319348205793102
01_Def,0.0032928965418368107,0.0029858442279917423
03_NDMI,0.0032451111650888716,0.0024738231094786267
01_rededge2,0.0032066953428654833,0.001346000434825161
02_rededge1,0.0031930945629798186,0.0016567189032220323
03_temperature_2m,0.00313821794058605,0.0023150496109520862
01_swir1,0.003109559734504253,0.0016585098471198572
12_rededge2,0.0030468498291319644,0.001303150415726978
03_rededge2,0.0029958454534225842,0.0011331386052642642
12_surface_solar_radiation_downwards_sum,0.002950914848395278,0.0022362745132415633
01_MSRre2,0.0028991670409806145,0.004387961290321013
09_Def_rel,0.0028754950641344383,0.001860370855936912
12_NDWI1,0.0028216226210957315,0.0012927786767312492
11_Def_rel,0.0027800290880978175,0.0020627884368812003
02_rededge2,0.002736328902125787,0.0011211810156434663
08_Def_rel,0.002688417753963947,0.0021477676892207626
05_Def_rel,0.002675426505337738,0.0018967642007183191
12_red,0.0026722572003153922,0.0014776284810603386
02_Def,0.002587695781613356,0.001618867908128376
03_SIWSI,0.002585688964789179,0.0019290923424209547
02_NDMI,0.0025697369385422526,0.002205426719757143
02_Def_rel,0.0025285221846424255,0.002373756854113599
11_Def,0.002525598089160397,0.001956845614661427
12_EVI,0.002517067941538374,0.0014290790138830028
10_Def,0.0024620214969891785,0.0015214033025173818
12_NDVIre3,0.002424000902843165,0.0013502031692919029
01_NDVIre3,0.002417090149683844,0.0013201986947857026
02_NDWI1,0.002411922493164003,0.0012477931960447823
12_CIre3,0.0023334829120151205,0.001160847522350738
03_NDVIre3,0.002316308459941113,0.0011583963838506398
13_Def,0.0023077415201915104,0.0020632148990371553
01_CIre3,0.0022623987086303364,0.0012038743828103353
02_NDVIre3,0.0022484400478209486,0.001096312237470769
02_CIre3,0.0022312354411793494,0.0011147093440069292
03_MSRre3,0.0022071992599632106,0.000984893262445813
01_red,0.002199636220385782,0.00137413989116861
01_MSRre3,0.0021939567189252977,0.001096394883975356
03_CIre3,0.0021682337918303087,0.0010290217265474981
02_MSRre3,0.0021379250899527195,0.0010769324580728224
12_MSRre3,0.0021378113226046204,0.0011298357020350642
02_CIre2,0.0021372179975456844,0.0015842845097273283
12_nir8A,0.0020717823984560337,0.0011173393703595182
03_red,0.0020490406115646,0.001175726785831191
01_temperature_2m,0.0019828400465280484,0.0015050660463397036
03_NDVIre1,0.00197884730340374,0.0016127300084379792
03_NDVI,0.0019118846809203496,0.0014887509940829876
02_NDVIre2,0.001911543962737566,0.001286700233244867
02_swir2,0.0018863177220375673,0.0013204813470516137
12_SAVI,0.0018724664079532967,0.0012244501239549812
12_rededge3,0.001857500885055965,0.001084142764556747
02_red,0.0018527165519639642,0.000932728758352193
02_SIWSI,0.001822525298827003,0.0020654654245879393
01_NDMI,0.0018141340206883163,0.001727607584006202
EST_Corte_5,0.0018050970260311669,0.001217145868388551
09_Def,0.0017823673017116728,0.0013704774580499848
08_Def,0.0017455977979846519,0.0014127936445074917
13_Def_rel,0.001729254846373997,0.00141151433779134
01_rededge3,0.0017254076977202566,0.0011289821611897568
03_CIre1,0.0016930011218650833,0.0014048246444790125
02_MSRre2,0.0016842140185059531,0.00115913473162524
12_nir,0.0016727004065041407,0.0009143689092717359
02_nir,0.001672250104917921,0.0010105530415243933
12_temperature_2m,0.001669389923046239,0.0012625432142835467
EST_Corte_4,0.0016524151916667,0.0009934869851228568
03_nir,0.0016274477100550876,0.001104633828270332
01_nir8A,0.0016259992074864713,0.0010047405695301377
02_rededge3,0.0016061281976503894,0.0010277625535525955
03_SAVI,0.0015953769339041536,0.0010950466445121935
02_CIre1,0.0015676552173604157,0.0017341878142683538
12_NDVI,0.0015619906650089102,0.0009066829680611294
01_NDVI,0.0015525987879370356,0.0015312237125241354
03_EVI,0.0015314442702388789,0.001096527301439904
01_EVI,0.0015052374698148491,0.0009839459958577161
02_EVI,0.0015035001972156894,0.0008351632471793956
01_SIWSI,0.001486419229239167,0.001134680126287315
03_rededge3,0.0014730565312111032,0.0008924940177879658
01_SAVI,0.0014106733766895852,0.0010537649507206973
02_nir8A,0.0014031488582708577,0.0008627441221273462
02_SAVI,0.0014029276919585417,0.0010155366486272513
02_NDVI,0.0013928199990574494,0.0009331854346118971
01_nir,0.0013729091196937023,0.0008798008524056397
02_temperature_2m,0.0013726616793357774,0.00100346213378186
02_NDVIre1,0.0013539900282510996,0.0013049278189159862
12_CIre1,0.0013441029894729092,0.0010351449538782093
03_nir8A,0.001321441760386048,0.0008241745542891815
03_MSRre1,0.001235063419787879,0.0011385721043798468
12_NDVIre1,0.00123263480918362,0.0010232667247478328
VARIEDADE_CTC15,0.0012293675457582705,0.0009666007921154939
Ordem_Neossolos,0.0011922619667525324,0.0011416400175176845
02_MSRre1,0.001142313103680414,0.0012697421521169392
12_MSRre1,0.001007917458934369,0.0010261072172747128
VARIEDADE_CTC2,0.0009804662718021035,0.0008743888579946603
VARIEDADE_RB966928,0.0009169988393544548,0.0007571312182307332
VARIEDADE_CTC4,0.0008685799551551251,0.0009014454209104298
VARIEDADE_RB855453,0.0006441947802998979,0.0007895852202250378
VARIEDADE_RB92579,0.0005745519727350717,0.0007126454746481252
Ordem_Latossolos,0.0005262375201568594,0.0004739784940565488
VARIEDADE_a def,0.0004289916439746331,0.0008474925378969903
VARIEDADE_CV7870,0.00042648339285622115,0.0004690613193553653
VARIEDADE_CTC9001,0.0004196412752442032,0.0005584978363129338
Ordem_Argissolos,0.0004188731067695391,0.0004495930996796583
VARIEDADE_SP832847,0.0004170877070073182,0.0004706574206643711
VARIEDADE_CTC20,0.0002902481049763849,0.00037953645191264325
VARIEDADE_RB975201,0.00028928275420800006,0.0002980022347802469
VARIEDADE_CTC9004M,0.00028199493297928463,0.00037535648147728277
VARIEDADE_RB975033,0.00026749974133406974,0.00035016096970373313
VARIEDADE_CTC9002,0.00023619673407648592,0.00031510623261311237
VARIEDADE_RB965902,0.0002300355056998131,0.00035418220370174425
VARIEDADE_CTC14,0.0001923718779751881,0.00037386692413200653
VARIEDADE_IAC5000,0.0001861031637030838,0.0003336360527678044
VARIEDADE_CTC9003,0.00018116666587943194,0.00028996017716558095
VARIEDADE_RB928064,0.00018092636982614584,0.00033445009824032465
VARIEDADE_CT961007,0.00016939673226041644,0.0004129995454247231
VARIEDADE_IACSP955000,0.00016533456491809407,0.00031452808717233544
VARIEDADE_SP801816,0.00015543523105550792,0.00028264515446918613
VARIEDADE_SP841431,0.00013762473970887823,0.00023298714672404848
VARIEDADE_CTC24,0.00012972782581645076,0.000261033366250123
Ordem_Nitossolos,9.814048380827341e-05,0.00019863796321417535
VARIEDADE_CTC11,8.930375533835258e-05,0.000211955202422127
VARIEDADE_viveiro,8.787432007375162e-05,0.00025406552975121917
VARIEDADE_RB975952,6.900090154800912e-05,0.0001356634410448394
VARIEDADE_CV6654,6.573632853349698e-05,0.0001507590351277153
VARIEDADE_RB937570,6.27581036018221e-05,0.00014459339327281589
VARIEDADE_CT002627,5.5379369868823285e-05,0.00017379723989765413
VARIEDADE_Sem inf,5.1891376591919096e-05,0.00017699243958278996
VARIEDADE_SP813250,3.6051478149288634e-05,8.090676172236502e-05
VARIEDADE_SP911285,3.4841170771245785e-05,7.394421726468458e-05
VARIEDADE_SP87365,2.8368595463024107e-05,8.721611533682183e-05
VARIEDADE_CTC18,2.6856261749401588e-05,0.00010908673737201217
VARIEDADE_RB975242,2.4282524433153316e-05,0.00010885510245656298
VARIEDADE_SP801842,2.3856596885375053e-05,8.671505652918647e-05
VARIEDADE_RB835054,2.2721927491890448e-05,8.469628452422248e-05
VARIEDADE_CTC9001BT,1.4767854188826396e-05,9.885039206457168e-05
VARIEDADE_CT963346,1.473289838807736e-05,4.9830222515838155e-05
VARIEDADE_CTC23,1.4546652127881681e-05,9.143727989178629e-05
Ordem_Gleissolos,1.372263489699841e-05,7.357951587940557e-05
VARIEDADE_RB855156,1.2473370392121537e-05,5.132298954890224e-05
VARIEDADE_RB975162,9.526897642914584e-06,5.1207384022069725e-05
VARIEDADE_CTC17,2.673332057880029e-06,2.2455829905491087e-05
VARIEDADE_IACSP974039,2.4977709492994926e-06,2.3593335116458996e-05
VARIEDADE_RB985476,2.38499165007729e-06,1.2537281019913417e-05
VARIEDADE_CV0618,2.361838308949775e-06,1.9356849603870423e-05
VARIEDADE_CV7231,1.1469419847081225e-06,7.348536034233405e-06
